"","p_cntrl4224","p_cncr8407","p_cntrl6764","p_cncr3273","p_cntrl1262","p_cncr8861","p_cncr5984","p_cncr8964","p_cncr7142","p_cncr1466","p_cntrl8055","p_cncr5423","p_cncr4352","p_cncr5461","p_cntrl4503","p_cncr5996","p_cntrl6350","p_cntrl2055","p_cncr9392","p_cncr2497","p_cntrl3871","p_cntrl9527","p_cncr8117","p_cntrl3797","p_cncr2900","p_cncr4395","p_cncr2896","p_cncr3688","p_cncr3488","p_cncr5857"
"10100011111111100001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001000100110001111",16,22238,2429,205,211477,235,4040,89,3297,28083,42,8,1736,270,1924,25751,50891,214,28774,17650,810,569497,90,2639,5750326,1664372,57,12861,2803,5306
"11100110010111011110",200306,1883652,75266,137451,33655,19243,210799,75,21905373,209856,169896,770664,6865,77897,76013,5558,6389,17349,1888900,3998,29868,16047,102685,2136875,372,20168,9549,907939,2165,124579
"01001000101000110111",3589,5246,44866,4296,448249,390585,3171,13306829,410,5434,137613,32708,61223,155951,5078,220143,5451999,31619,44852,4849,55173,350512,67439,23863,24240,849656,480214,13620,2346351,210529
"10101011001001001011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011011000011101100",1008,1845,964,373,889404,60261,1965,325,51,14755,22,231,14992,55800,5236777,21360,3039,1685,20327,607937,447,232,109,20800,24331,471,9,150640,276,320376
"11000001001110010100",20982,867,101660280,22533,230716,2786,362855,18656,3071,31691,4714,7341552,83305,968243,92649,32633,640636,7467171,643932,366,286,22884,85213,267528,12745,135828,2549092,404,130674,504624
"11110101101100000100",1224690,70903,754563,1770974,1982,174,13577571,2607915,8538,29984,79675,3359013,544776,610530,238787,165815,159518,1294176,76217,4812,3224,142319,79681,20765,37910,1618737,69669,9181,1562919,34133
"01101111101011111100",6614655,10258,11062,24411,5218,1900064,14425,120179,17339,2742,715052,19504,90433,2075831,18420054,84615,178021,33512,1344,234398,205340,1215,456762,2379782,1335,61507,74214,908146,20170,190415
"00000111010110011100",11340,8700,20771065,15962,5402,64308,3133,203,388137,4434148,152066,317962,43534,12662,736704,7911,32464,28549,5825939,77080,27769,123366,59950,839882,293020,6105,183,179828,315792,4955
